cource,group,stream,sex,age,ss,interest,os,weekend_study,bad_sleep,glasses,work_experience,ai,height,anime,social,sport,miss,study_form,foot_size,eye_color,score,retake,hostel,literature
4,2,Информатика,М,20.0,Нет,Программирование,Windows,Да,Нет,Да,1-2 года,DeepSeek,194.0,Да,Экстраверт,"Редко, легкая физкультура",10.0,Бюджет,46.0,Серые,8.6,0,"Нет, я из регионов",Нет
4,2,Информатика,М,20.0,Нет,Программирование,Linux,Да,Да,Нет,Меньше года,Qwen,176.0,Да,Интроверт,"Да, я спортсмен",5.0,Бюджет,42.0,Карие,8.0,0,"Нет, я из Минска",Да
4,3,Информатика,М,20.0,Нет,Программирование,MacOS,Да,Да,Да,Меньше года,Qwen,187.0,Да,Экстраверт,Вообще нет,10.0,Бюджет,46.0,Голубые,9.0,0,"Нет, я из регионов",Да
4,2,Информатика,Ж,20.0,Нет,Программирование,Windows,Нет,Да,Да,Меньше года,Gemini от Google,167.0,Нет,Интроверт,"Редко, легкая физкультура",5.0,Бюджет,37.0,Голубые,8.0,0,Да,Нет
4,2,Информатика,М,20.0,Нет,Программирование,MacOS,Да,Нет,Да,1-2 года,Copilot,185.0,Нет,Экстраверт,"Редко, легкая физкультура",10.0,Бюджет,47.0,Карие,6.0,0,"Нет, я из регионов",Нет
4,2,Информатика,М,20.0,Нет,Математика,Windows,Да,Да,Да,Меньше года,ChatGPT,188.0,Нет,Интроверт,"Да, я спортсмен",10.0,Бюджет,43.0,Карие,7.6,0,Да,Да
4,2,Информатика,М,21.0,Нет,Программирование,Windows,Да,Да,Да,1-2 года,DeepSeek,180.0,Нет,Интроверт,"Редко, легкая физкультура",15.0,Бюджет,43.0,Голубые,6.0,0,"Нет, я из Минска",Да
4,2,Информатика,Ж,20.0,Нет,Программирование,Linux,Нет,Нет,Нет,1-2 года,ChatGPT,187.0,Да,Экстраверт,"Редко, легкая физкультура",34.0,Бюджет,43.0,Голубые,7.5,0,"Нет, я из Минска",Нет
4,2,Информатика,М,21.0,Нет,Математика,Windows,Да,Нет,Да,Не работаю,Copilot,187.0,Нет,Интроверт,"Да, я спортсмен",3.0,Бюджет,45.0,Карие,7.6,0,"Нет, я из регионов",Нет
4,4,Информатика,М,20.0,Да,Программирование,Windows,Да,Да,Нет,Меньше года,ChatGPT,191.0,Нет,Экстраверт,"Редко, легкая физкультура",10.0,Бюджет,45.0,Карие,6.1,1,Да,Да
4,4,Информатика,Ж,20.0,Нет,Программирование,Windows,Да,Да,Да,Меньше года,ChatGPT,156.0,Да,Экстраверт,"Редко, легкая физкультура",0.0,Бюджет,36.0,Зеленые,8.0,0,"Нет, я из регионов",Да
4,4,Информатика,М,20.0,Нет,Математика,Windows,Да,Да,Нет,Меньше года,ChatGPT,189.0,Да,Экстраверт,"Да, я спортсмен",1.0,Бюджет,46.0,Зеленые,7.0,1,Да,Нет
4,4,Информатика,М,21.0,Нет,Программирование,Windows,Да,Да,Нет,Не работаю,DeepSeek,190.0,Нет,Экстраверт,"Да, я спортсмен",8.0,Бюджет,44.0,Зеленые,5.0,1,"Нет, я из Минска",Нет
4,4,Информатика,М,21.0,Да,Программирование,Windows,Да,Да,Нет,Не работаю,Gemini,179.0,Нет,Экстраверт,Вообще нет,5.0,Бюджет,42.0,Карие,8.0,0,"Нет, я из Минска",Нет
4,4,Информатика,М,21.0,Нет,Программирование,Windows,Нет,Да,Да,Не работаю,Qwen,191.0,Нет,Интроверт,"Да, я спортсмен",5.0,Бюджет,47.0,Карие,6.0,1,Да,Нет
4,4,Информатика,Ж,20.0,Нет,Программирование,Windows,Да,Да,Да,Не работаю,DeepSeek,160.0,Да,Социофоб,"Редко, легкая физкультура",4.0,Бюджет,39.0,Карие,8.0,0,"Нет, я из Минска",Да
4,4,Информатика,Ж,21.0,Нет,Программирование,Windows,Да,Нет,Да,Не работаю,DeepSeek,182.0,Нет,Экстраверт,"Да, я спортсмен",5.0,Бюджет,41.0,Голубые,7.85,0,"Нет, я из Минска",Нет
4,4,Информатика,Ж,21.0,Да,Программирование,MacOS,Да,Да,Нет,1-2 года,ChatGPT,159.5,Да,Экстраверт,"Да, я спортсмен",3.0,Бюджет,34.5,Зеленые,7.0,0,"Нет, я из Минска",Да
4,4,Информатика,Ж,20.0,Нет,Программирование,Windows,Да,Да,Нет,Не работаю,Grok,175.0,Да,Экстраверт,"Да, я спортсмен",5.0,Платная,39.0,Зеленые,7.0,0,"Нет, я из Минска",Да
4,4,Информатика,Ж,20.0,Нет,Программирование,Linux,Да,Да,Нет,Не работаю,DeepSeek,163.0,Нет,Интроверт,"Да, я спортсмен",7.0,Бюджет,36.0,Карие,5.0,2+,Да,Нет
4,4,Информатика,М,20.0,Нет,Программирование,Windows,Да,Да,Нет,Не работаю,DeepSeek,178.0,Да,Экстраверт,Вообще нет,6.0,Бюджет,45.0,Серые,7.43,0,"Нет, я из Минска",Да
4,4,Информатика,М,21.0,Нет,Программирование,Windows,Да,Да,Да,Не работаю,DeepSeek,179.0,Да,Социофоб,Вообще нет,7.0,Платная,43.0,Серые,6.29,0,"Нет, я из Минска",Да
4,4,Информатика,М,21.0,Нет,Программирование,Windows,Да,Нет,Да,Не работаю,ChatGPT,173.0,Нет,Интроверт,"Редко, легкая физкультура",20.0,Бюджет,42.0,Голубые,4.5,1,"Нет, я из регионов",Нет
4,4,Информатика,Ж,22.0,Нет,Программирование,Windows,Нет,Нет,Да,Не работаю,DeepSeek,160.0,Нет,Экстраверт,"Редко, легкая физкультура",3.0,Платная,39.0,Зеленые,6.8,1,"Нет, я из регионов",Да
4,4,Информатика,Ж,21.0,Нет,Программирование,Windows,Нет,Да,Нет,1-2 года,DeepSeek,166.0,Нет,Интроверт,"Редко, легкая физкультура",10.0,Бюджет,37.0,Зеленые,6.5,1,"Нет, я из Минска",Да
4,4,Информатика,М,21.0,Да,Программирование,Windows,Да,Да,Нет,Не работаю,Gemini,178.0,Нет,Интроверт,"Редко, легкая физкультура",5.0,Бюджет,41.0,Зеленые,6.9,0,Да,Нет
4,2,Информатика,Ж,20.0,Да,Программирование,Windows,Да,Нет,Да,Не работаю,Gemini,165.0,Нет,Интроверт,"Редко, легкая физкультура",8.0,Бюджет,38.0,Карие,8.2,0,"Нет, я из Минска",Да
4,4,Информатика,М,21.0,Нет,Математика,Linux,Да,Да,Да,1-2 года,ChatGPT,192.0,Нет,Социофоб,"Да, я спортсмен",40.0,Бюджет,46.0,Голубые,7.0,1,"Нет, я из регионов",Нет
4,2,Информатика,Ж,20.0,Да,Программирование,MacOS,Да,Да,Нет,Меньше года,ChatGPT,170.0,Нет,Экстраверт,"Редко, легкая физкультура",12.0,Платная,37.0,Голубые,7.6,0,"Нет, я из Минска",Да
4,12,Прикладная информатика,М,20.0,Нет,Программирование,Windows,Да,Да,Нет,Не работаю,ChatGPT,192.0,Нет,Интроверт,"Редко, легкая физкультура",1.0,Бюджет,46.0,Карие,8.6,0,"Нет, я из Минска",Да
4,12,Прикладная информатика,М,20.0,Нет,Программирование,Windows,Да,Нет,Да,Меньше года,DeepSeek,170.0,Нет,Интроверт,"Редко, легкая физкультура",3.0,Бюджет,45.0,Зеленые,9.0,0,"Нет, я из Минска",Да
